experiment_type,p_value,mean_density,mean_activations,mean_activations_per_minute,mean_events_per_cell,MEC_magnitude,MEC_per_minute
mid_third_wild_type,0.058941058941058944,1.0,3.8666666666666667,0.09194265314792623,0.5333333333333333,2.3001725129384702,0.012681745261782926
mid_third_wild_type,0.003996003996003996,2.0,3.9555555555555557,0.15132194168154384,1.4666666666666666,1.7826756340653107,0.05610813567967356
mid_third_wild_type,0.002997002997002997,2.227272727272727,6.681818181818182,0.1596992873283504,3.3181818181818183,1.3848050839419521,0.07930644880931688
mid_third_wild_type,0.017982017982017984,1.2820512820512822,3.0256410256410255,0.07452317797145384,0.7435897435897436,1.965302249932231,0.01831501831501832
mid_third_wild_type,0.000999000999000999,0.8631578947368421,2.4210526315789473,0.09424105222183525,0.35789473684210527,3.3557046979865777,0.013931285980619124
mid_third_wild_type,0.001998001998001998,1.6417910447761195,5.074626865671642,0.10749050763972977,1.791044776119403,1.6752757224626553,0.03793782622578697
mid_third_wild_type,0.001998001998001998,0.9818181818181818,3.309090909090909,0.05865449174164093,0.6363636363636364,2.5519504192489975,0.011279709950315563
mid_third_wild_type,0.000999000999000999,2.740740740740741,4.75,0.17391834991151522,2.935185185185185,1.2156725890758207,0.10747001349308055
mid_third_wild_type,0.001998001998001998,1.8846153846153846,4.711538461538462,0.0947233305496273,1.75,1.3549429360571161,0.03518295134700442
mid_third_wild_type,0.03196803196803197,2.7017543859649122,4.666666666666667,0.13581684128831975,2.0350877192982457,1.254216763255774,0.0592283969528011
mid_third_wild_type,0.002997002997002997,2.046511627906977,3.744186046511628,0.08365338402185726,1.2325581395348837,1.9662400296790945,0.02753807051651202
mid_third_wild_type,0.029970029970029972,2.5714285714285716,7.285714285714286,0.11398176291793312,3.5714285714285716,1.2445240939864597,0.05587341319506526
cbx_inhibitor_3.125,0.000999000999000999,1.4444444444444444,3.185185185185185,0.07829855420809208,0.7037037037037037,3.8771553923069084,0.017298517790159878
cbx_inhibitor_3.125,0.3166833166833167,1.849056603773585,6.377358490566038,0.24443689116772854,2.2452830188679247,1.0646864095911246,0.0860591421566855
cbx_inhibitor_3.125,0.21478521478521478,2.1454545454545455,5.618181818181818,0.158036056770234,2.0727272727272728,1.1079686269936149,0.058304564633678564
cbx_inhibitor_12.5,1.0,0.2222222222222222,1.5555555555555556,0.03755017810183582,0.0,0.0,0.0
cbx_inhibitor_12.5,1.0,0.6956521739130435,0.9565217391304348,0.025724832728660097,0.0,0.0,0.0
cbx_inhibitor_12.5,0.7462537462537463,1.0,4.634615384615385,0.053155354795451144,0.09615384615384616,0.6034274680183442,0.0011028081907769947
cbx_inhibitor_12.5,0.18181818181818182,1.4666666666666666,3.7333333333333334,0.06753497346840329,0.3333333333333333,1.5831134564643798,0.00602990834539315
cbx_inhibitor_washout,0.027972027972027972,2.1686746987951806,4.445783132530121,0.1439696610275298,1.3975903614457832,1.3004775891836142,0.04525875522816655
cbx_inhibitor_washout,0.3876123876123876,1.1111111111111112,3.933333333333333,0.1108918334742975,0.24444444444444444,1.1117849201536283,0.006891582871284026
cbx_inhibitor_washout,0.4155844155844156,1.1228070175438596,6.456140350877193,0.20745952284309743,1.456140350877193,1.0416666666666665,0.046791142380372526
cbx_inhibitor_washout,0.08391608391608392,1.1746031746031746,3.5555555555555554,0.09838283219578182,0.5396825396825397,1.5564914850759937,0.014933108458288314
mid_third_zpg_RNAi,0.05094905094905095,1.0769230769230769,8.384615384615385,0.2528532986916582,2.5384615384615383,1.9843656043295252,0.07655191611765798
mid_third_zpg_RNAi,0.22877122877122877,2.3703703703703702,9.444444444444445,0.13244207606849592,3.5925925925925926,1.1295882243338924,0.050379926975074915
mid_third_zpg_RNAi,0.3036963036963037,1.3076923076923077,5.8076923076923075,0.16396646831429443,1.0,1.2110484885183288,0.028232636928289107
mid_third_zpg_RNAi,0.08191808191808192,1.4074074074074074,9.444444444444445,0.26762381537105256,3.074074074074074,1.2321669808939888,0.0871089281403818
mid_third_zpg_RNAi,0.43156843156843155,1.0,13.35,0.2820919175911252,4.8,1.029302968895751,0.10142630744849444
mid_third_zpg_RNAi,0.1938061938061938,1.5,6.7,0.12026566146113804,1.3,1.3261922978831933,0.023335128343205887
mid_third_zpg_RNAi,0.11488511488511488,1.0,4.954545454545454,0.12273853314315741,1.4545454545454546,1.3739212571379504,0.036033330831018694
mid_third_zpg_RNAi,0.02197802197802198,1.2105263157894737,11.31578947368421,0.2435598250900605,4.7368421052631575,1.2925741614425126,0.10195527561909508
late_second_wild_type,0.36863136863136864,4.2105263157894735,6.526315789473684,0.23308270676691728,3.736842105263158,1.0511355224587688,0.13345864661654136
late_second_wild_type,0.2217782217782218,2.0,4.777777777777778,0.157734492498441,1.1851851851851851,1.2791301914698003,0.03912793612364428
late_second_wild_type,0.022977022977022976,2.909090909090909,6.818181818181818,0.30049280820545693,5.090909090909091,1.1963000149537502,0.2243679634600745
late_second_wild_type,0.8301698301698301,1.6666666666666667,3.5,0.1282051282051282,0.16666666666666666,0.6458557588805167,0.006105006105006104
early_third_wild_type,0.002997002997002997,2.25,1.9375,0.07538910505836575,0.5625,2.978652986927023,0.021887159533073932
early_third_wild_type,0.029970029970029972,1.3846153846153846,3.980769230769231,0.10894278135657447,0.5384615384615384,1.9258545979778523,0.014736221632773357
early_third_wild_type,0.46553446553446554,0.9473684210526315,2.8421052631578947,0.12416362005932262,0.15789473684210525,1.5400410677618066,0.006897978892184589
early_third_wild_type,0.07192807192807193,1.8604651162790697,6.627906976744186,0.18375123306748503,2.813953488372093,1.1327784903152123,0.0780136814075989
early_third_wild_type,0.000999000999000999,2.475,4.825,0.15420262064557366,2.9125,1.3868634862057678,0.09308085650367529
late_second_zpg_RNAi,1.0,1.3333333333333333,4.166666666666667,0.1249750049990002,0.0,0.0,0.0
late_second_zpg_RNAi,1.0,0.7692307692307693,3.076923076923077,0.12033332330555639,0.0,0.0,0.0
late_second_zpg_RNAi,0.6183816183816184,1.5,4.5625,0.16288825419493036,0.5625,0.9232663110381617,0.020082113530881827
early_third_zpg_RNAi,0.04995004995004995,1.2941176470588236,7.705882352941177,0.1908341345453486,1.4411764705882353,1.51669916736311,0.03569035340733619
early_third_zpg_RNAi,0.09290709290709291,1.125,5.5625,0.18603678929765885,1.3125,1.6464131713053702,0.04389632107023411
early_third_zpg_RNAi,0.2777222777222777,1.2173913043478262,5.130434782608695,0.16427905163652562,0.4782608695652174,1.3917004048582997,0.015314148881371033
early_third_zpg_RNAi,0.985014985014985,1.5,8.2,0.28822495606326887,1.65,0.6983535785330343,0.057996485061511414
